athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm,weight_kg,notes
ATH-08603,Antoinette Smit,Female,30,1996-02-03,NED,Netherlands,Curling,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,131,380,1900,1,No,Stephan Hanke,162.9,56.1,
ATH-08654,Antoinette de Vries,Female,38,1988-09-19,NED,Netherlands,Snowboarding,Parallel Giant Slalom,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,131,380,1900,1,No,Alexander Wolf,171.0,51.4,
ATH-08523,Auston Matthews,Male,29,1997-09-17,USA,United States,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,Gold,4.0,goals,1,1,1,0,0,1073,3015,1896,1,No,John Hynes,191,100,Led team in points
ATH-08504,Ayumu Hirano,Male,28,1998-11-29,JPN,Japan,Snowboarding,Halfpipe,Winter,2026,Milan-Cortina,Individual,Silver,92.25,points,4,4,1,3,0,173,520,1912,1,No,Yoshimi Hirano,165,50,
ATH-08554,Beat Odermatt,Male,29,1997-02-18,SUI,Switzerland,Bobsleigh,4-man,Winter,2026,Milan-Cortina,Individual,None,,,3,0,0,0,0,115,360,1896,1,No,Marc Gauthier,183.8,77.7,
ATH-08671,Beat Suter,Male,23,2003-03-11,SUI,Switzerland,Cross-Country Skiing,4x10km Relay,Winter,2026,Milan-Cortina,Individual,None,,,3,2,1,0,1,115,360,1896,1,No,Alexander Wolf,182.6,88.8,
ATH-08530,Brad Jacobs,Male,41,1985-06-11,CAN,Canada,Curling,Men's Tournament,Winter,2026,Milan-Cortina,Team,Gold,9.0,points,2,2,2,0,0,124,540,1900,1,No,Caleb Flaxey,185,88,Canada Gold
ATH-08644,Brad Jones,Male,24,2002-03-03,GBR,Great Britain,Snowboarding,Slopestyle,Winter,2026,Milan-Cortina,Individual,None,,,3,1,0,1,0,288,960,1896,1,No,Elena Valbe,179.9,77.8,
ATH-08611,Brad Smith,Male,26,2000-09-03,GBR,Great Britain,Snowboarding,Halfpipe,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,288,960,1896,1,No,Mikael Andersson,168.1,69.1,
ATH-08670,Brad Thomas,Male,27,1999-08-20,GBR,Great Britain,Alpine Skiing,Downhill,Winter,2026,Milan-Cortina,Individual,None,,,3,0,0,0,0,288,960,1896,1,No,Stephan Hanke,176.1,66.2,
ATH-08676,Brooke Gagnon,Female,28,1998-07-08,CAN,Canada,Biathlon,12.5km Pursuit,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,124,540,1900,1,No,Mikael Andersson,169.4,61.5,
ATH-08711,Brooke MacDonald,Female,24,2002-06-17,CAN,Canada,Biathlon,12.5km Pursuit,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,124,540,1900,1,No,Gilles Jager,175.6,68.3,
ATH-08734,Brooke Tremblay,Female,38,1988-02-21,CAN,Canada,Curling,Mixed Doubles,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,124,540,1900,1,No,Dieter Hegen,168.9,58.2,
ATH-08642,Bruce Brown,Male,20,2006-01-03,GBR,Great Britain,Bobsleigh,2-man,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,288,960,1896,1,No,Gilles Jager,174.0,76.4,
ATH-08638,Bruce Evans,Male,25,2001-09-12,GBR,Great Britain,Ski Mountaineering,Mixed Relay,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,288,960,1896,1,No,Hanspeter Lüscher,179.2,82.1,
ATH-08744,Calle Larsson,Male,24,2002-02-21,SWE,Sweden,Ski Mountaineering,Mixed Relay,Winter,2026,Milan-Cortina,Individual,Silver,1073.99,seconds,1,1,0,1,0,202,535,1896,1,No,Dieter Hegen,192.4,99.8,
ATH-08568,Camille Keller,Female,28,1998-06-18,SUI,Switzerland,Cross-Country Skiing,4x10km Relay,Winter,2026,Milan-Cortina,Team,Bronze,10.48,minutes,1,1,0,0,1,115,360,1896,1,No,Marc Gauthier,160.5,55.4,
ATH-08602,Camille Müller,Female,26,2000-08-20,SUI,Switzerland,Speed Skating,1000m,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,115,360,1896,1,No,Dieter Hegen,158.8,49.9,
ATH-08745,Camille Robert,Female,36,1990-01-16,FRA,France,Skeleton,Men's Skeleton,Winter,2026,Milan-Cortina,Individual,None,,,2,1,1,0,0,254,780,1896,1,No,Elena Valbe,156.3,43.6,
ATH-08624,Camille Schmid,Female,18,2008-12-22,SUI,Switzerland,Ski Jumping,Large Hill Individual,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,115,360,1896,1,No,Hanspeter Lüscher,159.6,52.7,
ATH-08653,Camille Thomas,Female,25,2001-09-03,FRA,France,Ski Mountaineering,Women's Sprint,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,254,780,1896,1,No,Mikael Andersson,164.0,57.8,
ATH-08610,Camille Weber,Female,29,1997-10-18,SUI,Switzerland,Figure Skating,Team Event,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,115,360,1896,1,No,Alexander Wolf,165.5,55.0,
ATH-08555,Charlotte Wilson,Female,31,1995-06-06,GBR,Great Britain,Ice Hockey,Women's Tournament,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,288,960,1896,1,No,Elena Valbe,170.6,66.7,
ATH-08542,Chase Chen,Male,20,2006-04-27,USA,United States,Speed Skating,1000m,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,1073,3015,1896,1,No,Mikael Andersson,167.5,68.9,
ATH-08631,Chase Jacobson,Male,28,1998-09-08,USA,United States,Bobsleigh,Monobob,Winter,2026,Milan-Cortina,Team,Silver,235.92,seconds,1,1,0,1,0,1073,3015,1896,1,No,Marc Gauthier,176.8,74.1,
ATH-08739,Chloe Chen,Female,29,1997-02-06,USA,United States,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,2,0,0,0,0,1073,3015,1896,1,No,Stephan Hanke,169.8,63.0,
ATH-08503,Chloe Kim,Female,26,2000-04-23,USA,United States,Snowboarding,Halfpipe,Winter,2026,Milan-Cortina,Individual,Gold,94.0,points,3,3,3,0,0,1073,3015,1896,1,No,Rick Bower,160,52,Three consecutive Olympic Halfpipe Golds
ATH-08673,Chloe Smith,Female,20,2006-11-18,USA,United States,Skeleton,Women's Skeleton,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,1073,3015,1896,1,No,Gilles Jager,158.1,46.6,
ATH-08700,Clement Dubois,Male,31,1995-04-09,FRA,France,Luge,Women's Singles,Winter,2026,Milan-Cortina,Team,None,,,3,0,0,0,0,254,780,1896,1,No,John Campbell,176.4,72.6,
ATH-08606,Clement Durand,Male,30,1996-07-17,FRA,France,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,2,0,0,0,0,254,780,1896,1,No,Marc Gauthier,189.1,86.8,
ATH-08665,Clement Petit,Male,18,2008-01-19,FRA,France,Figure Skating,Women's Singles,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,254,780,1896,1,No,Marc Gauthier,174.8,68.1,
ATH-08666,Clement Robert,Male,36,1990-08-03,FRA,France,Ski Mountaineering,Men's Sprint,Winter,2026,Milan-Cortina,Individual,None,,,2,1,1,0,0,254,780,1896,1,No,Stephan Hanke,180.0,69.8,
ATH-08524,Connor McDavid,Male,29,1997-01-13,CAN,Canada,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,Silver,3.0,goals,1,1,0,1,0,124,540,1900,1,No,Jon Cooper,185,88,Team Canada Captain
ATH-08608,Cornelia Huber,Female,27,1999-11-01,AUT,Austria,Biathlon,12.5km Pursuit,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,95,350,1896,2,No,Marc Gauthier,171.8,61.3,
ATH-08545,Cornelia Schmid,Female,23,2003-09-15,AUT,Austria,Cross-Country Skiing,50km Mass Start,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,95,350,1896,2,No,Marc Gauthier,160.9,46.4,
ATH-08635,Daniel Huber,Male,18,2008-07-04,AUT,Austria,Ski Jumping,Large Hill Individual,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,95,350,1896,2,No,Elena Valbe,178.9,72.9,
ATH-08622,Daniel Pfeifer,Male,32,1994-11-08,AUT,Austria,Biathlon,15km Individual,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,95,350,1896,2,No,Dieter Hegen,175.7,72.9,
ATH-08595,David White,Male,27,1999-12-27,USA,United States,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,2,0,0,0,0,1073,3015,1896,1,No,Dieter Hegen,187.7,98.7,
ATH-08605,Davide Bianchi,Male,21,2005-06-03,ITA,Italy,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,257,780,1896,1,No,Stephan Hanke,188.1,89.3,
ATH-08682,Davide Goggia,Male,35,1991-11-12,ITA,Italy,Speed Skating,5000m,Winter,2026,Milan-Cortina,Individual,Bronze,267.08,seconds,1,1,0,0,1,257,780,1896,1,No,John Campbell,185.5,83.4,
ATH-08609,Davide Rossi,Male,25,2001-05-19,ITA,Italy,Cross-Country Skiing,10km Freestyle,Winter,2026,Milan-Cortina,Individual,Bronze,15.42,minutes,2,1,0,0,1,257,780,1896,1,No,Hanspeter Lüscher,178.7,79.2,
ATH-08680,Ebba Larsson,Female,29,1997-09-16,SWE,Sweden,Ski Mountaineering,Men's Sprint,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,202,535,1896,1,No,Elena Valbe,173.3,62.9,
ATH-08591,Ebba Olsson,Female,27,1999-06-14,SWE,Sweden,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,202,535,1896,1,No,Hanspeter Lüscher,162.0,46.7,
ATH-08584,Ebba Persson,Female,20,2006-03-04,SWE,Sweden,Luge,Women's Singles,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,202,535,1896,1,No,Marc Gauthier,170.3,57.3,
ATH-08588,Eero Korhonen,Male,21,2005-06-12,FIN,Finland,Bobsleigh,2-woman,Winter,2026,Milan-Cortina,Team,Silver,253.68,seconds,2,1,0,1,0,162,490,1908,4,No,Hanspeter Lüscher,176.5,78.9,
ATH-08727,Elena Bianchi,Female,38,1988-02-05,ITA,Italy,Skeleton,Men's Skeleton,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,257,780,1896,1,No,Dieter Hegen,170.1,58.1,
ATH-08572,Elena Rizzo,Female,26,2000-09-17,ITA,Italy,Speed Skating,500m,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,257,780,1896,1,No,Alexander Wolf,167.5,62.4,
ATH-08623,Elvira Larsson,Female,18,2008-08-09,SWE,Sweden,Cross-Country Skiing,Sprint,Winter,2026,Milan-Cortina,Individual,Silver,16.17,minutes,1,1,0,1,0,202,535,1896,1,No,Mikael Andersson,150.1,40.0,
ATH-08693,Eve Davies,Female,36,1990-03-03,GBR,Great Britain,Ski Mountaineering,Women's Sprint,Winter,2026,Milan-Cortina,Individual,Silver,1956.77,seconds,1,1,0,1,0,288,960,1896,1,No,Alexander Wolf,159.0,50.5,
ATH-08577,Eve Evans,Female,26,2000-09-01,GBR,Great Britain,Biathlon,15km Mass Start,Winter,2026,Milan-Cortina,Team,None,,,2,1,0,0,1,288,960,1896,1,No,Yuri Borodavko,167.1,53.7,
ATH-08686,Eve Jones,Female,25,2001-05-16,GBR,Great Britain,Ski Jumping,Large Hill Individual,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,288,960,1896,1,No,Yuri Borodavko,171.5,59.6,
ATH-08677,Fan Chen,Female,30,1996-12-22,CHN,China,Snowboarding,Snowboard Cross,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,265,650,1952,1,No,Marc Gauthier,166.6,62.5,
ATH-08604,Fan Zhang,Female,29,1997-11-27,CHN,China,Skeleton,Women's Skeleton,Winter,2026,Milan-Cortina,Individual,None,,,3,0,0,0,0,265,650,1952,1,No,Yuri Borodavko,167.7,61.6,
ATH-08735,Fan Zhao,Female,20,2006-03-14,CHN,China,Cross-Country Skiing,Sprint,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,265,650,1952,1,No,Yuri Borodavko,168.3,59.6,
ATH-08508,Federica Brignone,Female,36,1990-07-14,ITA,Italy,Alpine Skiing,Giant Slalom,Winter,2026,Milan-Cortina,Individual,Gold,135.5,seconds,5,6,2,2,2,257,780,1896,1,No,Gianluca Rulfi,168,59,Gold in front of home crowd
ATH-08508,Federica Brignone,Female,36,1990-07-14,ITA,Italy,Alpine Skiing,Super-G,Winter,2026,Milan-Cortina,Individual,Gold,73.15,seconds,5,6,2,2,2,257,780,1896,1,No,Gianluca Rulfi,168,59,
ATH-08553,Felix Weber,Male,22,2004-03-06,GER,Germany,Luge,Women's Singles,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,283,900,1896,1,No,Marc Gauthier,174.4,74.5,
ATH-08563,Femke Smit,Female,29,1997-03-26,NED,Netherlands,Snowboarding,Halfpipe,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,131,380,1900,1,No,Hanspeter Lüscher,166.7,60.8,
ATH-08621,Femke de Vries,Female,33,1993-01-24,NED,Netherlands,Figure Skating,Pairs,Winter,2026,Milan-Cortina,Team,None,,,3,0,0,0,0,131,380,1900,1,No,Marc Gauthier,153.7,41.0,
ATH-08738,Francesca Ferrari,Female,26,2000-04-08,ITA,Italy,Bobsleigh,2-woman,Winter,2026,Milan-Cortina,Team,None,,,2,0,0,0,0,257,780,1896,1,No,Hanspeter Lüscher,162.3,58.4,
ATH-08626,Francesca Grosso,Female,33,1993-08-06,ITA,Italy,Ski Jumping,Normal Hill Individual,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,257,780,1896,1,No,Marc Gauthier,165.9,57.4,
ATH-08528,Francesco Friedrich,Male,36,1990-05-02,GER,Germany,Bobsleigh,2-man,Winter,2026,Milan-Cortina,Team,Gold,234.15,seconds,4,6,6,0,0,283,900,1896,1,No,Rene Spies,183,97,
ATH-08507,Franjo von Allmen,Male,25,2001-07-24,SUI,Switzerland,Alpine Skiing,Downhill,Winter,2026,Milan-Cortina,Individual,Gold,101.2,seconds,1,3,3,0,0,115,360,1896,1,No,Thomas Stauffer,183,84,
ATH-08507,Franjo von Allmen,Male,25,2001-07-24,SUI,Switzerland,Alpine Skiing,Super-G,Winter,2026,Milan-Cortina,Individual,Gold,78.45,seconds,1,3,3,0,0,115,360,1896,1,No,Thomas Stauffer,183,84,
ATH-08548,Frida Olsson,Female,37,1989-02-07,SWE,Sweden,Curling,Mixed Doubles,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,202,535,1896,1,No,Dieter Hegen,170.4,57.3,
ATH-08570,Hailey Anderson,Female,32,1994-12-08,USA,United States,Snowboarding,Parallel Giant Slalom,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,1073,3015,1896,1,No,John Campbell,173.1,63.7,
ATH-08599,Henrik Johansen,Male,38,1988-04-07,NOR,Norway,Ski Jumping,Normal Hill Individual,Winter,2026,Milan-Cortina,Individual,Silver,250.32,points,3,1,0,1,0,166,446,1900,1,No,Mikael Andersson,184.7,87.8,
ATH-08526,Hilary Knight,Female,37,1989-07-12,USA,United States,Ice Hockey,Women's Tournament,Winter,2026,Milan-Cortina,Team,Gold,3.0,goals,5,5,2,3,0,1073,3015,1896,1,No,John Wroblewski,180,78,
ATH-08705,Iivo Koskinen,Male,21,2005-06-10,FIN,Finland,Alpine Skiing,Super-G,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,162,490,1908,4,No,Dieter Hegen,177.3,77.4,
ATH-08586,Iivo Laine,Male,34,1992-02-12,FIN,Finland,Figure Skating,Ice Dance,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,162,490,1908,4,No,Hanspeter Lüscher,189.7,90.3,
ATH-08618,Iivo Nieminen,Male,21,2005-11-12,FIN,Finland,Skeleton,Men's Skeleton,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,162,490,1908,4,No,Marc Gauthier,194.4,96.1,
ATH-08560,Ilkka Heikkinen,Male,37,1989-02-09,FIN,Finland,Bobsleigh,4-man,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,162,490,1908,4,No,Elena Valbe,177.6,76.7,
ATH-08695,Ilkka Koskinen,Male,35,1991-10-19,FIN,Finland,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,Silver,4.54,goals,2,1,0,1,0,162,490,1908,4,No,Gilles Jager,183.4,89.1,
ATH-08522,Jack Hughes,Male,25,2001-05-14,USA,United States,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,Gold,2.0,goals,1,1,1,0,0,1073,3015,1896,1,No,John Hynes,180,79,Scored game-winning overtime goal in the final
ATH-08543,James Taylor,Male,32,1994-02-14,GBR,Great Britain,Luge,Doubles,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,288,960,1896,1,No,Alexander Wolf,182.6,89.3,
ATH-08640,Jennifer Evans,Female,34,1992-03-01,GBR,Great Britain,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,288,960,1896,1,No,Dieter Hegen,162.2,55.6,
ATH-08514,Jessie Diggins,Female,35,1991-08-27,USA,United States,Cross-Country Skiing,10km Freestyle,Winter,2026,Milan-Cortina,Individual,Bronze,23.45,minutes,4,4,1,1,2,1073,3015,1896,1,No,Matt Whitcomb,163,54,Bronze in final Olympic career race
ATH-08513,Johannes Dale-Skjevdal,Male,29,1997-05-24,NOR,Norway,Biathlon,15km Mass Start,Winter,2026,Milan-Cortina,Individual,Gold,35.15,minutes,1,1,1,0,0,166,446,1900,1,No,Egil Kristiansen,182,77,
ATH-08515,Johannes Høsflot Klæbo,Male,30,1996-10-22,NOR,Norway,Cross-Country Skiing,Sprint,Winter,2026,Milan-Cortina,Individual,Gold,172.5,seconds,3,9,7,1,1,166,446,1900,1,No,Arild Monsen,183,76,Sprint Gold
ATH-08557,John Chen,Male,35,1991-06-15,USA,United States,Cross-Country Skiing,Sprint,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,1073,3015,1896,1,No,Elena Valbe,173.7,73.0,
ATH-08660,John Davis,Male,19,2007-01-14,USA,United States,Luge,Doubles,Winter,2026,Milan-Cortina,Individual,None,,,3,0,0,0,0,1073,3015,1896,1,No,Dieter Hegen,170.9,76.3,
ATH-08615,John Johnson,Male,35,1991-02-08,USA,United States,Ski Mountaineering,Women's Sprint,Winter,2026,Milan-Cortina,Individual,None,,,2,3,1,1,1,1073,3015,1896,1,No,Yuri Borodavko,174.7,74.0,
ATH-08737,Joni Koskinen,Male,27,1999-04-20,FIN,Finland,Speed Skating,1000m,Winter,2026,Milan-Cortina,Individual,None,,,3,1,0,0,1,162,490,1908,4,No,Mikael Andersson,170.9,70.0,
ATH-08647,Joni Laine,Male,37,1989-04-16,FIN,Finland,Figure Skating,Pairs,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,162,490,1908,4,No,Hanspeter Lüscher,176.9,75.7,
ATH-08538,Joni Mäkinen,Male,31,1995-11-12,FIN,Finland,Speed Skating,1000m,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,162,490,1908,4,No,Mikael Andersson,168.2,68.2,
ATH-08731,Joni Nieminen,Male,22,2004-04-19,FIN,Finland,Snowboarding,Slopestyle,Winter,2026,Milan-Cortina,Individual,None,,,3,0,0,0,0,162,490,1908,4,No,Elena Valbe,178.1,82.8,
ATH-08598,Jonna Larsson,Female,23,2003-10-16,SWE,Sweden,Figure Skating,Women's Singles,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,202,535,1896,1,No,Marc Gauthier,162.4,47.5,
ATH-08656,Jonna Nilsson,Female,36,1990-09-10,SWE,Sweden,Bobsleigh,2-man,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,202,535,1896,1,No,Mikael Andersson,166.4,55.9,
ATH-08704,Jonna Olsson,Female,24,2002-12-09,SWE,Sweden,Figure Skating,Women's Singles,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,202,535,1896,1,No,Alexander Wolf,164.5,44.9,
ATH-08501,Jordan Stolz,Male,22,2004-05-21,USA,United States,Speed Skating,500m,Winter,2026,Milan-Cortina,Individual,Gold,34.25,seconds,2,3,2,1,0,1073,3015,1896,1,Olympic Record,Bob Fenn,191,86,Olympic Record in 500m
ATH-08501,Jordan Stolz,Male,22,2004-05-21,USA,United States,Speed Skating,1000m,Winter,2026,Milan-Cortina,Individual,Gold,66.5,seconds,2,3,2,1,0,1073,3015,1896,1,Olympic Record,Bob Fenn,191,86,Olympic Record in 1000m
ATH-08501,Jordan Stolz,Male,22,2004-05-21,USA,United States,Speed Skating,1500m,Winter,2026,Milan-Cortina,Individual,Silver,103.1,seconds,2,3,2,1,0,1073,3015,1896,1,No,Bob Fenn,191,86,
ATH-08585,Joy Jansen,Female,23,2003-07-24,NED,Netherlands,Snowboarding,Snowboard Cross,Winter,2026,Milan-Cortina,Individual,None,,,2,1,0,0,1,131,380,1900,1,No,Mikael Andersson,173.1,67.8,
ATH-08562,Joy de Jong,Female,28,1998-10-14,NED,Netherlands,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,131,380,1900,1,No,Mikael Andersson,170.2,58.1,
ATH-08512,Julia Simon,Female,30,1996-10-09,FRA,France,Biathlon,4x6km Relay,Winter,2026,Milan-Cortina,Team,Gold,69.45,minutes,3,4,1,2,1,254,780,1896,1,No,Cyril Burdet,170,58,France team gold
ATH-08531,Jun Liu,Male,34,1992-06-17,CHN,China,Snowboarding,Slopestyle,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,265,650,1952,1,No,Gilles Jager,190.3,93.5,
ATH-08708,Justine Dubois,Female,23,2003-12-11,FRA,France,Curling,Women's Tournament,Winter,2026,Milan-Cortina,Team,None,,,2,0,0,0,0,254,780,1896,1,No,Yuri Borodavko,164.2,56.6,
ATH-08664,Justine Gagnon,Female,34,1992-10-15,CAN,Canada,Skeleton,Men's Skeleton,Winter,2026,Milan-Cortina,Individual,Bronze,238.1,seconds,1,1,0,0,1,124,540,1900,1,No,Hanspeter Lüscher,161.1,44.7,
ATH-08589,Justine MacDonald,Female,30,1996-10-23,CAN,Canada,Luge,Men's Singles,Winter,2026,Milan-Cortina,Individual,None,,,2,1,0,1,0,124,540,1900,1,No,Dieter Hegen,169.7,61.5,
ATH-08690,Jutta Bakker,Female,21,2005-10-08,NED,Netherlands,Snowboarding,Snowboard Cross,Winter,2026,Milan-Cortina,Individual,None,,,2,0,0,0,0,131,380,1900,1,No,Gilles Jager,162.2,51.5,
ATH-08648,Jutta Jansen,Female,36,1990-04-18,NED,Netherlands,Biathlon,15km Individual,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,131,380,1900,1,No,Alexander Wolf,159.3,59.3,
ATH-08709,Kaori Ito,Female,37,1989-03-13,JPN,Japan,Cross-Country Skiing,15km Skiathlon,Winter,2026,Milan-Cortina,Individual,None,,,2,2,0,1,1,173,520,1912,1,No,Marc Gauthier,164.7,55.8,
ATH-08571,Kaori Nakamura,Female,30,1996-07-08,JPN,Japan,Alpine Skiing,Super-G,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,173,520,1912,1,No,Hanspeter Lüscher,163.9,55.8,
ATH-08723,Kaori Sato,Female,32,1994-03-18,JPN,Japan,Ski Mountaineering,Mixed Relay,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,173,520,1912,1,No,Hanspeter Lüscher,166.6,64.7,
ATH-08532,Kaori Yamamoto,Female,34,1992-03-03,JPN,Japan,Ice Hockey,Men's Tournament,Winter,2026,Milan-Cortina,Team,None,,,2,1,0,1,0,173,520,1912,1,No,Yuri Borodavko,164.5,55.5,
ATH-08699,Katharina Becker,Female,20,2006-09-16,GER,Germany,Snowboarding,Big Air,Winter,2026,Milan-Cortina,Individual,None,,,1,0,0,0,0,283,900,1896,1,No,John Campbell,171.8,60.7,
ATH-08716,Katharina Brunner,Female,38,1988-12-23,AUT,Austria,Ski Mountaineering,Women's Sprint,Winter,2026,Milan-Cortina,Individual,None,,,2,2,1,1,0,95,350,1896,2,No,Elena Valbe,161.0,49.6,
ATH-08672,Katharina Fischer,Female,31,1995-10-26,GER,Germany,Figure Skating,Ice Dance,Winter,2026,Milan-Cortina,Team,None,,,1,0,0,0,0,283,900,1896,1,No,Stephan Hanke,164.3,49.5,
